processed_index,source_frame,ground_coverage_fraction
0,0,0.8537
1,2,0.8372
2,4,0.8485
3,6,0.8517
4,8,0.8396
5,10,0.8487
6,12,0.8417
7,14,0.8564
8,16,0.8367
9,18,0.8466
10,20,0.8379
11,22,0.8387
12,24,0.8533
13,26,0.8384
14,28,0.836
15,30,0.8376
16,32,0.1247
17,34,0.1241
18,36,0.124
19,38,0.1239
20,40,0.1242
21,42,0.1248
22,44,0.1248
23,46,0.1248
24,48,0.1248
25,50,0.1248
26,52,0.125
27,54,0.1247
28,56,0.1244
29,58,0.1241
30,60,0.1243
31,62,0.125
32,64,0.4739
33,66,0.4989
34,68,0.4916
35,70,0.5079
36,72,0.4629
37,74,0.435
38,76,0.4701
39,78,0.4818
40,80,0.3038
41,82,0.4796
42,84,0.4734
43,86,0.466
44,88,0.4983
45,90,0.4978
46,92,0.4941
47,94,0.5004
