processed_index,source_frame,ground_coverage_fraction
0,0,0.982
1,1,0.9817
2,2,0.9819
3,3,0.9815
4,4,0.9815
5,5,0.9818
6,6,0.9819
7,7,0.9825
8,8,0.9827
9,9,0.9824
10,10,0.9823
11,11,0.9819
12,12,0.9819
13,13,0.9811
14,14,0.981
15,15,0.9803
16,16,0.9802
17,17,0.9803
18,18,0.9804
19,19,0.9801
20,20,0.9801
21,21,0.9804
22,22,0.9804
23,23,0.9804
24,24,0.9804
25,25,0.9811
26,26,0.9811
27,27,0.9799
28,28,0.9798
29,29,0.9788
30,30,0.9788
31,31,0.9778
32,32,0.9778
33,33,0.9778
34,34,0.9778
35,35,0.9774
36,36,0.9775
37,37,0.9769
38,38,0.9769
39,39,0.9776
40,40,0.9776
41,41,0.9775
42,42,0.9775
43,43,0.9779
44,44,0.9778
45,45,0.9775
46,46,0.9775
47,47,0.9775
48,48,0.9775
49,49,0.9768
50,50,0.9768
51,51,0.9759
52,52,0.976
53,53,0.974
54,54,0.9739
55,55,0.9736
56,56,0.9736
57,57,0.9731
58,58,0.9731
59,59,0.9722
60,60,0.9722
61,61,0.9715
62,62,0.9715
63,63,0.9707
64,64,0.9706
65,65,0.9704
66,66,0.9705
67,67,0.9697
68,68,0.9702
69,69,0.9682
70,70,0.9682
71,71,0.9677
72,72,0.9679
73,73,0.9679
74,74,0.9679
75,75,0.9673
76,76,0.9673
77,77,0.9671
78,78,0.9671
79,79,0.9668
80,80,0.9668
81,81,0.9659
82,82,0.9659
83,83,0.9647
84,84,0.9646
85,85,0.9643
86,86,0.9643
87,87,0.9636
88,88,0.9636
89,89,0.9638
90,90,0.9638
91,91,0.9635
92,92,0.9635
93,93,0.9627
94,94,0.9627
95,95,0.9627
96,96,0.9627
97,97,0.9616
98,98,0.9615
99,99,0.9602
100,100,0.9601
101,101,0.9595
102,102,0.9595
103,103,0.959
104,104,0.959
105,105,0.9603
106,106,0.9603
107,107,0.9662
108,108,0.9663
109,109,0.9665
110,110,0.9665
111,111,0.9661
112,112,0.9662
113,113,0.9665
114,114,0.9665
115,115,0.9667
116,116,0.9667
117,117,0.9664
118,118,0.9664
119,119,0.9662
120,120,0.9662
121,121,0.9657
122,122,0.9657
123,123,0.9653
124,124,0.9651
125,125,0.9651
126,126,0.9653
127,127,0.9662
128,128,0.9663
129,129,0.9657
130,130,0.9658
131,131,0.9651
132,132,0.965
133,133,0.9645
134,134,0.9645
135,135,0.9648
136,136,0.9648
137,137,0.9651
138,138,0.9651
139,139,0.9651
140,140,0.9651
141,141,0.9649
142,142,0.9648
143,143,0.9644
144,144,0.9644
145,145,0.9642
146,146,0.9642
147,147,0.9651
148,148,0.9651
149,149,0.9662
150,150,0.9661
151,151,0.9666
152,152,0.9665
153,153,0.967
154,154,0.967
155,155,0.9675
156,156,0.9674
157,157,0.9675
158,158,0.9675
159,159,0.9668
160,160,0.9668
161,161,0.9663
162,162,0.9663
163,163,0.9656
164,164,0.9656
165,165,0.9654
166,166,0.9654
167,167,0.9657
168,168,0.9657
169,169,0.966
170,170,0.966
171,171,0.9651
172,172,0.9651
173,173,0.9647
174,174,0.9647
175,175,0.964
176,176,0.964
177,177,0.9634
178,178,0.9634
179,179,0.963
180,180,0.963
181,181,0.9633
182,182,0.9634
183,183,0.9627
184,184,0.9627
185,185,0.9624
186,186,0.9624
187,187,0.962
188,188,0.962
189,189,0.9614
190,190,0.9614
191,191,0.9604
192,192,0.9604
193,193,0.9607
194,194,0.9607
195,195,0.9596
196,196,0.9596
197,197,0.9594
198,198,0.9594
199,199,0.9589
200,200,0.9589
201,201,0.9594
202,202,0.9594
203,203,0.9592
204,204,0.9592
205,205,0.9591
206,206,0.9591
207,207,0.9586
208,208,0.9586
209,209,0.9585
210,210,0.9585
211,211,0.9569
212,212,0.9569
213,213,0.956
214,214,0.956
215,215,0.9557
216,216,0.9557
217,217,0.9557
218,218,0.9558
219,219,0.9554
220,220,0.9554
221,221,0.955
222,222,0.955
223,223,0.9545
224,224,0.9545
225,225,0.9538
226,226,0.9533
227,227,0.9535
228,228,0.9539
229,229,0.9539
230,230,0.9538
231,231,0.954
232,232,0.954
233,233,0.9529
234,234,0.9529
235,235,0.9543
236,236,0.9543
237,237,0.9603
238,238,0.9604
239,239,0.9622
240,240,0.9623
241,241,0.9623
242,242,0.9623
243,243,0.962
244,244,0.962
245,245,0.9616
246,246,0.9618
247,247,0.9619
248,248,0.9618
249,249,0.962
250,250,0.962
251,251,0.9613
252,252,0.9613
253,253,0.9597
254,254,0.9597
255,255,0.9587
256,256,0.9586
257,257,0.9576
258,258,0.9576
259,259,0.9573
260,260,0.9572
261,261,0.9569
262,262,0.9569
263,263,0.9574
264,264,0.9574
265,265,0.9593
266,266,0.9594
267,267,0.9601
268,268,0.9601
269,269,0.9602
270,270,0.9602
271,271,0.9603
272,272,0.9604
273,273,0.9612
274,274,0.9612
275,275,0.9612
276,276,0.9612
277,277,0.9609
278,278,0.9609
279,279,0.9609
280,280,0.9609
281,281,0.9606
282,282,0.9606
283,283,0.9603
284,284,0.9601
285,285,0.9589
286,286,0.9588
287,287,0.9585
288,288,0.9586
289,289,0.9585
290,290,0.9585
291,291,0.9586
292,292,0.9586
293,293,0.9588
294,294,0.9588
295,295,0.9592
296,296,0.9593
297,297,0.9604
298,298,0.9604
299,299,0.9609
300,300,0.9609
301,301,0.9612
302,302,0.9612
303,303,0.9613
304,304,0.9613
305,305,0.9614
306,306,0.9614
307,307,0.9603
308,308,0.9603
309,309,0.9603
310,310,0.9603
311,311,0.96
312,312,0.96
313,313,0.9602
314,314,0.9602
315,315,0.9603
316,316,0.9603
317,317,0.9601
318,318,0.9601
319,319,0.96
320,320,0.9599
321,321,0.9588
322,322,0.9588
323,323,0.9586
324,324,0.9586
325,325,0.9585
326,326,0.9585
327,327,0.9589
328,328,0.9589
329,329,0.9593
330,330,0.9593
331,331,0.9591
332,332,0.9591
333,333,0.9601
334,334,0.9602
335,335,0.961
336,336,0.9611
337,337,0.9616
338,338,0.9616
339,339,0.9558
340,340,0.9558
341,341,0.9555
342,342,0.9555
343,343,0.9543
344,344,0.9543
345,345,0.9546
346,346,0.9546
347,347,0.9548
348,348,0.9548
349,349,0.9553
350,350,0.9553
351,351,0.9552
352,352,0.9553
353,353,0.9549
354,354,0.9549
355,355,0.9555
356,356,0.9555
357,357,0.9564
358,358,0.9564
359,359,0.9563
360,360,0.9563
361,361,0.956
362,362,0.9559
363,363,0.9556
364,364,0.9557
365,365,0.9555
366,366,0.9555
367,367,0.9552
368,368,0.9552
369,369,0.9544
370,370,0.9544
371,371,0.955
372,372,0.9551
373,373,0.9558
374,374,0.9558
375,375,0.9563
376,376,0.9563
377,377,0.9567
378,378,0.9567
379,379,0.9572
380,380,0.9572
381,381,0.9574
382,382,0.9574
383,383,0.9579
384,384,0.9579
385,385,0.9589
386,386,0.9589
387,387,0.9595
388,388,0.9595
389,389,0.9597
390,390,0.9597
391,391,0.9594
392,392,0.9594
393,393,0.959
394,394,0.959
395,395,0.959
396,396,0.959
397,397,0.9591
398,398,0.9591
399,399,0.959
