tier,pi,institution,apply_through,fit_notes,deadline_fall_2027,deadline_verified,emailed_on,reply,recommenders_notified,app_submitted,status
1,Aydogan Ozcan,UCLA,ECE (or Bioengineering),"Lens-free holography + DL; time-lapse coherent imaging for early bacterial colony detection (LSA 2020); TFT-sensor colony detection (ACS Photonics 2022)",2026-12-15,yes,,,,,
1,Euan McLeod,University of Arizona,Wyant College of Optical Sciences,"Lens-free holographic on-chip sensing; DL-assisted assays; point-of-care",2027-01-15,last cycle,,,,,
1,Bahram Javidi,UConn,ECE,"Digital holographic microscopy + DL cell identification; low-cost field-deployable DHM (2026 review)",check,no,,,,,
1,Guoan Zheng,UConn,Biomedical Engineering,"Lensless on-chip microscopy; coded ptychography; ePetri",2027-01-01,yes,,,,,
1,Changhuei Yang,Caltech,EE / Medical Engineering,"Chip-scale microscopy; ePetri; Fourier ptychography",2026-12-15,yes,,,,,
2,Laura Waller,UC Berkeley,EECS or Bioengineering or AS&T,"Joint optics/algorithm design; lensless DiffuserCam; phase imaging; list her as faculty of interest",2026-12-01,yes,,,,,
2,Lei Tian,Boston University,ECE,"Computational imaging systems; phase retrieval; DL reconstruction",2026-12-15,yes,,,,,
2,Roarke Horstmeyer,Duke,BME or ECE,"Multi-camera array microscopy; ML-designed microscopes",2026-12-04,last cycle,,,,,
2,Kevin C. Zhou,University of Michigan,BME,"New PI; high-throughput computational 3D/4D microscopy; actively recruiting",2026-12-01,last cycle,,,,,
2,Kristina Monakhova,Cornell,CS (ECE possible),"Lensless imaging; physics-informed ML; uncertainty quantification; committee admissions, do not email ECE faculty",2026-12-15,yes,,,,,
2,Shwetadwip Chowdhury,UT Austin,ECE,"Computational microscopy; inverse scattering",2026-12-01,last cycle,,,,,
2,Ashok Veeraraghavan,Rice,ECE,"FlatCam / FlatScope lensless imaging",2027-02-01,last cycle,,,,,
2,George Barbastathis,MIT,Mechanical Engineering,"DL for phase retrieval and lensless imaging (PhENN)",2026-12-01,last cycle,,,,,
2,Ulugbek Kamilov,UW-Madison,ECE,"Model-based DL / plug-and-play reconstruction",check,no,,,,,
2,Chrysanthe Preza,University of Memphis,ECE,"Computational microscopy with DL; likely-admit school",check,no,,,,,
2,Rafael Piestun,CU Boulder,ECEE,"Computational optical microscopy; scattering",check,no,,,,,
3,Cedric Allier group,CEA-Leti / Univ. Grenoble Alpes,Funded project position,"Lens-free time-lapse detection of bacterial micro-colonies (PLOS Digital Health 2023)",rolling,n/a,,,,,
3,Yongkeun Park,KAIST,Bio and Brain Engineering / Physics,"Holotomography + DL bacterial species ID (LSA 2022)",check,no,,,,,
3,Pietro Ferraro,CNR-ISASI Naples,Partner Italian university,"Digital holography + DL cell classification",check,no,,,,,
local,Shiva Abbaszadeh,UC Santa Cruz,ECE,"Detector + computational imaging (medical); Cal-Bridge partner; near CSUMB",check,no,,,,,
